No,충전소명,구분,공급방식,주소,용도,비고,입력주소,X,Y,CLSS
46,원더플(주) 복합수소충전소,저장식,튜브트레일러,강원도 삼척시 오분동 122-3 외5필지,상업용,,강원도 삼척시 오분동 122-3 외5필지,1148932,1938040,정좌표
20,한국도로공사 안성(부산)휴게소,저장식,튜브트레일러,경기 안성 경부고속도로 365,상업용,,경기 안성 경부고속도로 365,968395,1890620,정좌표
21,대보유통㈜ 안성(서울)주유소,저장식,튜브트레일러,경기 안성 경부고속도로 372,상업용,,경기 안성 경부고속도로 372,967323,1897643,정좌표
23,(주)고신통상 영동고속도로 여주(강릉)휴게소,저장식,튜브트레일러,경기 여주 여주남로 722(영동고속도로),상업용,,경기 여주 여주남로 722(영동고속도로),1008664,1916453,인근좌표
1,현대자동차㈜ 환경기술연구소,저장식,튜브트레일러,경기 용인 기흥 마북로240번길 17-5(마북동),연구용,,경기 용인 기흥 마북로240번길 17-5(마북동),971430,1915846,시군구 좌표
5,한국교통안전공단 자동차성능연구소,저장식,튜브트레일러,경기 화성 송산면 삼존로 200,연구용,미가동,경기 화성 송산면 삼존로 200,935189,1914691,정좌표
3,현대자동차㈜ 남양연구소,저장식,튜브트레일러,경기 화성 현대연구소로 150,연구용,,경기 화성 현대연구소로 150,939834,1906685,정좌표
19,창원성주 수소충전소,저장식,튜브트레일러,경남 창원 성산구 성주동 175,상업용,,경남 창원 성산구 성주동 175,1111290,1689094,정좌표
13,(재)창원산업진흥원 팔용수소충전소,저장식,튜브트레일러,경남 창원 의창구 창원대로18번길 46,상업용,,경남 창원 의창구 창원대로18번길 46,1100399,1695755,정좌표
38,창원덕동수소충전소,저장식,튜브트레일러,경남 창원시 마산합포구 덕동동 838,상업용,,경남 창원시 마산합포구 덕동동 838,1096992,1682666,정좌표
31,범한산업㈜,제조식,개질(NG),경남 창원시 마산회원구 자유무역4길 61,상업용,휴지,경남 창원시 마산회원구 자유무역4길 61,1101047,1691498,정좌표
27,CENTRAL H2 STATION,저장식,튜브트레일러,경남 창원시 성산구 중앙대로21번길 15,상업용(현재 실증용),,경남 창원시 성산구 중앙대로21번길 15,1106778,1692075,정좌표
32,㈜이엠석유 함안(부산)휴게소,저장식,튜브트레일러,경남 함안군 군북면 현포로 205,상업용,,경남 함안군 군북면 현포로 205,1077024,1700147,정좌표
28,성주(양평) 수소충전소,저장식,튜브트레일러,경북 성주군 초전면 중부내륙고속도로 98,상업용,,경북 성주군 초전면 중부내륙고속도로 98,1068638,1779375,정좌표
16,동곡융복합수소충전소　,저장식,튜브트레일러,광주 광산구 동곡로 326(복룡동),상업용,,광주 광산구 동곡로 326(복룡동),934401,1679809,정좌표
50,한국자동차부품연구원,저장식,튜브트레일러,광주 광산구 오선동 573,연구용,미개소,광주 광산구 오선동 573,935277,1689051,정좌표
11,(재)광주그린카진흥원 수소융합스테이션,저장식,튜브트레일러,광주 광산구 진곡산단중앙로 55,상업용,,광주 광산구 진곡산단중앙로 55,935275,1689035,정좌표
41,임암수소충전소,저장식,튜브트레일러,광주 남구 임암동 675,상업용,,광주 남구 임암동 675,942290,1679483,정좌표
45,수소에너지네트워크(주) 성서 수소충전소,저장식,튜브트레일러,대구 달서구 갈산동 980,상업용,,대구 달서구 갈산동 980,1089709,1760325,정좌표
15,(재)지능형자동차부품진흥원,저장식,튜브트레일러,대구 달성군 국가산단서로 201,연구용,,대구 달성군 국가산단서로 201,1081613,1739356,정좌표
10,이엠솔루션㈜ 대구경북지점,제조식,수전해,대구 북구 조야로2길 41,상업용,휴지,대구 북구 조야로2길 41,1097437,1768438,인근좌표
26,대전도시공사 학하수소충전소,저장식,튜브트레일러,대전 유성구 학하동 388-3외 10필지,상업용,,대전 유성구 학하동 388-3외 10필지,983483,1815349,정좌표
24,(주)엔케이텍 서부산,저장식,튜브트레일러,부산 강서구 송정동 803-3번지외1필지,상업용,,부산 강서구 송정동 803-3번지외1필지,1122413,1680644,정좌표
33,대도에너지 수소충전소,저장식,튜브트레일러,부산 사상구 학감대로 167,상업용,,부산 사상구 학감대로 167,1135512,1684432,정좌표
40,강동구 상일동 수소충전소,저장식,튜브트레일러,서울 강동구 상일동 443-9,상업용,,서울 강동구 상일동 443-9,970895,1949597,정좌표
7,서울특별시 상암수소스테이션,제조식,개질(NG+매립가스),서울 마포구 하늘공원로 86,상업용,,서울 마포구 하늘공원로 86,945341,1952620,정좌표
6,현대자동차㈜ 양재그린에너지스테이션,저장식,튜브트레일러,서울 서초구 바우뫼로12길 73,상업용,휴지,서울 서초구 바우뫼로12길 73,958832,1941111,정좌표
34,수소에너지네트워크(주) 국회 수소충전소,저장식,튜브트레일러,서울 영등포구 의사당대로 1,상업용,,서울 영등포구 의사당대로 1,948448,1948071,정좌표
48,하이넷 세종청사 수소충전소,저장식,튜브트레일러,세종 어진동 567,상업용,,세종 어진동 567,978759,1833887,정좌표
14,(주)옥동엘피지수소 수소복합충전소,저장식,튜브트레일러,울산 남구 남부순환도로 465,상업용,,울산 남구 남부순환도로 465,1162424,1726662,정좌표
4,에스앤디㈜-울산수소충전소,저장식,튜브트레일러,울산 남구 장생포고래로 317,연구용,휴지,울산 남구 장생포고래로 317,1170848,1725142,정좌표
9,㈜덕양 매암수소충전소,저장식,튜브트레일러,울산 남구 장생포고래로29번길 5,상업용,,울산 남구 장생포고래로29번길 5,1169364,1725380,정좌표
17,경동 수소충전소,저장식,튜브트레일러,울산 북구 북부순환도로 1165,상업용,,울산 북구 북부순환도로 1165,1168306,1733253,정좌표
29,언양(서울) 수소충전소,저장식,튜브트레일러,울산 울주군 언양읍 경부고속도로 44,상업용,,울산 울주군 언양읍 경부고속도로 44,1148710,1734808,정좌표
22,그린주유소 수소복합충전소,저장식,튜브트레일러,울산 울주군 온산읍 온산로 256,상업용,,울산 울주군 온산읍 온산로 256,1166429,1720196,정좌표
18,㈜신일 복합충전소,저장식,튜브트레일러,울산 울주군 웅촌면 웅촌로 490,상업용,,울산 울주군 웅촌면 웅촌로 490,1155910,1720897,정좌표
37,논현충전소(복합수소자동차충전소),저장식,튜브트레일러,인천 남동구 고잔동 246-15 외 2필지,상업용,,인천 남동구 고잔동 246-15 외 2필지,930217,1933562,정좌표
2,한국가스공사 H2/HCNG복합충전소,제조식,개질(NG),인천 연수구 인천신항대로 960,연구용,미가동,인천 연수구 인천신항대로 960,920785,1928435,인근좌표
47,하이넷 에스피지 수소충전소,저장식,배관공급,전남 여수시 여수산단로 603,상업용,,전남 여수시 여수산단로 603,1017005,1648518,정좌표
30,한국도로공사 백양사(논산)휴게소 수소충전소,저장식,튜브트레일러,전남 장성군 북일면 호남고속도로 108-1,상업용,,전남 장성군 북일면 호남고속도로 108-1,937099,1711134,정좌표
8,한국에너지기술연구원,제조식,수전해,전북 부안군 하서면 신재생에너지로 20-41,연구용,휴지,전북 부안군 하서면 신재생에너지로 20-41,918522,1746573,정좌표
39,(재)전북테크노파크 완주수소충전소,저장식,튜브트레일러,전북 완주군 봉동읍 둔산리 951-6,상업용,,전북 완주군 봉동읍 둔산리 951-6,966279,1772875,정좌표
49,전주 제1호 수소충전소,저장식,튜브트레일러," 전북 전주시 덕진구 송천동2가 1186-2,1190,1191 ",상업용,미개소,"전북 전주시 덕진구 송천동2가 1186-2,1190,1191 ",964581,1763771,정좌표
36,당진H2 STATION,저장식,튜브트레일러,충남 당진시 송산면 동곡리 358,상업용(현재 실증용),,충남 당진시 송산면 동곡리 358,929461,1886602,정좌표
12,충남테크노파크 내포신도시수소충전소,저장식,튜브트레일러,충남 홍성군 홍북면 용봉로 234,상업용,,충남 홍성군 홍북면 용봉로 234,927048,1848886,정좌표
42,(합자)도원주유소 수소충전소,저장식,튜브트레일러,충북 청주시 청원구 내수읍 충청대로 771,상업용,,충북 청주시 청원구 내수읍 충청대로 771,1003022,1857112,정좌표
43,청주수소충전소,저장식,튜브트레일러,충북 청주시 청원구 오창읍 양청농소길 102,상업용,,충북 청주시 청원구 오창읍 양청농소길 102,994638,1856581,정좌표
25,현대모비스㈜ 수소충전소,저장식,튜브트레일러,충북 충주시 대소원면 기업도시1로 47,상업용,,충북 충주시 대소원면 기업도시1로 47,1029506,1888800,정좌표
44,연수LPG충전소,저장식,튜브트레일러,충북 충주시 연수동 315-6,상업용,,충북 충주시 연수동 315-6,1039616,1887888,정좌표
35,중부고속도로 하남드림휴게소,저장식,튜브트레일러,하남시 중부고속도로 117-1 하남드림휴게소,상업용,,하남시 중부고속도로 117-1 하남드림휴게소,974115,1947982,정좌표
